# 人类样本候选 —— sweep_window 探针排名（全窗口口径）
# 探针: 24 段 × 16800 块，按命中数排名取前 7500
# 判据: 收到散播型热钱包转账 + 探针段内有自发交易 + 非他组标签
# 🔴 反循环: 只看活动量，绝不看时间分布（entropy 特征保持独立证据）
# 🔴 正式采集覆盖窗口的 100% ⇒ 入选者约需全窗口 ≥20 笔，样本构成偏向常用钱包（论文需交代）
address,source,note
0xd0f0f139bc10a9d3ed113da52196420d48173852,base_cex_withdrawal,hits=240;wd=12
0x4dd08e25b3fb1c91791813a88f8edc8442e012b3,base_cex_withdrawal,hits=236;wd=9
0x12924049e2d21664e35387c69429c98e9891a820,base_cex_withdrawal,hits=233;wd=8
0x53a11cf69f2067b1ebe083d63aa650911232d812,base_cex_withdrawal,hits=228;wd=135
0x0c7e553c2a2d258a9f73b19ca751862f7745ceba,base_cex_withdrawal,hits=225;wd=8
0xd17f9bfb35cbff1d8eceeba15863754dd2ea5f9f,base_cex_withdrawal,hits=219;wd=1943
0x4862e042ca1edb6e16792f2c77937a56e207cd75,base_cex_withdrawal,hits=216;wd=14
0x198cac934aa9b23511ee20f2880a300d2d77214f,base_cex_withdrawal,hits=208;wd=20
0xec7cd9678face80a494026b5bc6fd671dab45f0d,base_cex_withdrawal,hits=208;wd=2178
0xb171cd18decc9715e91998e0e33f4e0a2bc7eb79,base_cex_withdrawal,hits=203;wd=17
0x87001fe0924b20441d3131631cf0278d35862906,base_cex_withdrawal,hits=198;wd=12
0xf0e4c8462e5dcfd282e3dc63ebacf7a9369575f0,base_cex_withdrawal,hits=196;wd=10
0xdf8413f4144e991063ff44a91292d02632d414f7,base_cex_withdrawal,hits=189;wd=10
0xa8a9f7a1895e4fc509825968738f3fcf28e58aa3,base_cex_withdrawal,hits=184;wd=41
0xfc7e3b0a9be8a4506e561893650c514d3531ba53,base_cex_withdrawal,hits=184;wd=11
0x1481e58411608b2d628ef305b92b01cf4f83db70,base_cex_withdrawal,hits=179;wd=10
0x6d8675a52438849d90241cb639fba41bdc3329c8,base_cex_withdrawal,hits=176;wd=1379
0x732101354af9a6e5bb40024835a748958c091ded,base_cex_withdrawal,hits=173;wd=31
0xbc00a6c3e0ba0e16365f9b35c63a6e68f6c28c42,base_cex_withdrawal,hits=170;wd=1041
0x60cb6b972ec074c01ab29fd5840a6bf1839bdbc6,base_cex_withdrawal,hits=169;wd=9
0xf0a391658f07e65779c7370a592675106c931277,base_cex_withdrawal,hits=169;wd=8
0xc7bd65f08e6dd536535450d263309e3360fc8ffb,base_cex_withdrawal,hits=167;wd=1184
0xcd7063a9b287b0e13a73748f89170d5e35101a52,base_cex_withdrawal,hits=166;wd=15
0x1cf8da0110f4cb8924aa4eba7ef3a04430897c05,base_cex_withdrawal,hits=164;wd=16
0x828d76e33b9db71538b167a1e3cc988ba9ac4b22,base_cex_withdrawal,hits=156;wd=26
0xc9a15ae03e9451ec479e91a7027545a7d11f816e,base_cex_withdrawal,hits=155;wd=8
0x00f0df30ff796dc5ebd37f468fc6a7d731625a5d,base_cex_withdrawal,hits=154;wd=22
0xcf8373446363216f0dac6ace39cd3db12cf8689b,base_cex_withdrawal,hits=154;wd=10
0xf7ede1de6b945b947754a95e7e377bf357dc6186,base_cex_withdrawal,hits=152;wd=8
0x9ba150561c80b8dd5bba76491e1aafaeca4f8fc7,base_cex_withdrawal,hits=151;wd=37
0x10a9960cd3163e22c5f17e9b494b952df4a411db,base_cex_withdrawal,hits=151;wd=11
0xdf701bf17bb51718fb0a353be0168d80feb99deb,base_cex_withdrawal,hits=150;wd=23
0x929cd0b5b03df44200a2f77291b886ae40cb9c63,base_cex_withdrawal,hits=147;wd=16
