# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 16:37:12
# human 候选池（热钱包提币接收方，待探针筛活跃度）
# 全部接收方 2,316,827 个，按收到提币次数降序预排序取 15,000 个进探针
# 🔴 只按活动量筛，不看时间分布（反循环设计）
# 区块 42755201-50819862 | seed=42
address,source,note,n_from_cex
0x77d1deb3841aa6d9c94eb6d81e0810d0be993a72,base_cex_withdrawal,wd=419,419
0xcf748f1bd1e2a1e2a1cef35a480acfd5220c9e7d,base_cex_withdrawal,wd=409,409
0xfcc8d0139468da1c285a5a1e556a92250e07ab05,base_cex_withdrawal,wd=409,409
0x5a9ac45b30a3bc495e18ffb191c98829f67ea2b6,base_cex_withdrawal,wd=404,404
0xf14d2193c2c892076576a71b91a2a8c4d3ad9633,base_cex_withdrawal,wd=398,398
0x3f45fdf743fd61bd0387dd1646aa8cbd068f77dc,base_cex_withdrawal,wd=396,396
0x02fa6de19db60f2460472ab80318855f163c7b31,base_cex_withdrawal,wd=396,396
0x662337218b8345b529e404705b3bc77dd006072e,base_cex_withdrawal,wd=388,388
0x0caff0e7f1783b2a4de408aea23d4a29cd93c0b7,base_cex_withdrawal,wd=388,388
0x0c89b5b4e2392933df6c7b062b020372459073f9,base_cex_withdrawal,wd=385,385
0xc541dd13df6844c9ba1b60d233e9524ea8d06dfb,base_cex_withdrawal,wd=383,383
0x02ae4716b9d5d48db1445814b0ede39f5c28264b,base_cex_withdrawal,wd=373,373
0x65281f666f41a02f61b1192e94dc647dafaa94d0,base_cex_withdrawal,wd=372,372
0x2940bad06bf0092ba44ed088183026b4412f7aa7,base_cex_withdrawal,wd=371,371
0x75e88796857f14e1723ff07e09cb466a0273050d,base_cex_withdrawal,wd=366,366
0x82262b72ba5ab9a6089fa765ef51ffb7017f2077,base_cex_withdrawal,wd=365,365
0xa41cf8a1e2256ec1fdbc8e18576baf88b1aaa909,base_cex_withdrawal,wd=365,365
0xa8d29a977fc4c9d7801192caf2600aebc7748ec0,base_cex_withdrawal,wd=361,361
