# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 16:37:10
# x402 付款方（agent 弱正样本，真值质量 ★★）
# ★ 全窗口 AuthorizationUsed 扫描（sweep_window main 趟）
#   去重付款方 504,668 个，其中窗口内 ≥20 次的 23,897 个（低于门槛的不写入）
# avg_usd=-1: 金额提纯改用提交者画像（fetch_x402 --profile，见 x402_facilitators.csv）
# 区块 42755201-50819862
address,source,note,n_payments,avg_usd,n_sellers,bad_share,top_submitter
0x1ec34cbcd685587f8015dcbf6c1b8665cc93d567,x402_payer,n=46390 span=182d bad=0 submitters=21,46390,-1,-1,0.0,0x2bb201f1bb056eb738718bd7a3ad1bef24b883bb
0xd2a0a587287688eec9922a63604f334d5c416878,x402_payer,n=44114 span=91d bad=0 submitters=20,44114,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0x2ab54755639b528308e1ce9ff92543496c2f2ade,x402_payer,n=43915 span=26d bad=0 submitters=20,43915,-1,-1,0.0,0xe74817f4cdc15844314812b2271276e64e890fae
0xadca14b81f11b00a7bb0dc1152e5e4e995d264e4,x402_payer,n=41731 span=35d bad=0 submitters=2,41731,-1,-1,0.0,0x25e9775b674bd128fbd78c6fd24c3199b1d376f0
0x6af9fe471a40560d28737feb2832af50cd45b2f8,x402_payer,n=39625 span=113d bad=0 submitters=20,39625,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0xfeefa3a0aaca0d2490e7f5df60146fd6a5096ed8,x402_payer,n=39524 span=39d bad=0 submitters=20,39524,-1,-1,0.0,0x68efafe862d89ce66dd3d7b07d5a3747a0871164
0xebb757ea63d9d7ae8ca31f2e2c2b73b322b8bea0,x402_payer,n=37538 span=168d bad=0 submitters=20,37538,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0x3be9fd0ac95830558a994402d3d061dbd221575c,x402_payer,n=36238 span=187d bad=13492 submitters=170,36238,-1,-1,0.3723,0x48f07c16cbd5f12939e1ab24b8a23d161d6c3596
0x66c40946b0dffd04be467e18309857307ecd37cb,x402_payer,n=34682 span=185d bad=0 submitters=1,34682,-1,-1,0.0,0x66c40946b0dffd04be467e18309857307ecd37cb
0x91412885cc3f44064d278bf273e4b034d096b86f,x402_payer,n=34666 span=30d bad=0 submitters=5,34666,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0x92650fb47dfec55cf281144784a4a20e94737e78,x402_payer,n=34486 span=13d bad=0 submitters=20,34486,-1,-1,0.0,0x625d8a65134079f8faaac39a7947c73d93c6ac39
0xc2171e342119932a480bd4c14e36fdd8eaa51fd0,x402_payer,n=34434 span=114d bad=0 submitters=20,34434,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0xa787777b2cf08284358b0cd630db8d9bc52664cf,x402_payer,n=33410 span=155d bad=8542 submitters=767,33410,-1,-1,0.2557,0x256b3cc1e516d124b3027ecd083aa5a940d1328e
0x275771a0aeb2b058728dbcd39170cb294e5ce316,x402_payer,n=31656 span=8d bad=0 submitters=5,31656,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0xf0e1d15c7f3e3372e57bc388081a6a3a111c5059,x402_payer,n=31556 span=44d bad=0 submitters=5,31556,-1,-1,0.0,0x97acce27d5069544480bde0f04d9f47d7422a016
0xb4fd9dcf697e4a203ffd707926b892b2e1279943,x402_payer,n=31471 span=38d bad=0 submitters=5,31471,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0xbfa1a456c772b839800915da140fc1d1fd7f0bd1,x402_payer,n=31418 span=33d bad=0 submitters=20,31418,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0xd97c63d0503b506b63cae11128cc09d7c1220093,x402_payer,n=31286 span=170d bad=0 submitters=24,31286,-1,-1,0.0,0x97acce27d5069544480bde0f04d9f47d7422a016
0x98978c8926ac59325b74c7070d9b71fe8d8de042,x402_payer,n=30967 span=109d bad=0 submitters=23,30967,-1,-1,0.0,0x4c934c63c786157fefd990945b25ea60a0fb0205
0x4472c0339326fde8f3b094f411bc00bb69e489cd,x402_payer,n=30848 span=185d bad=0 submitters=9,30848,-1,-1,0.0,0x0b44230e5a73fdd638e834deb4910e176dfc80fc
0x1bd34218fefbaa01b98100edd2b3d813199a1ac5,x402_payer,n=30448 span=56d bad=0 submitters=20,30448,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0x6bd09cf1482609986cc1233e71f47c8e07326090,x402_payer,n=29953 span=150d bad=0 submitters=20,29953,-1,-1,0.0,0x97acce27d5069544480bde0f04d9f47d7422a016
0xf1c8e771be931ec7177994b48c44579421602672,x402_payer,n=29870 span=95d bad=0 submitters=20,29870,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0x9d3d9410be95fa1d230734b961997427fc61d837,x402_payer,n=28921 span=133d bad=0 submitters=32,28921,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0xf8ef294a8bbae395c8032ff216f26458015849ec,x402_payer,n=28374 span=64d bad=0 submitters=20,28374,-1,-1,0.0,0x97acce27d5069544480bde0f04d9f47d7422a016
0xf5c8260646d488103e1a903f472451e059b35aec,x402_payer,n=28020 span=118d bad=0 submitters=20,28020,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0x11c8097431a0aa12ceca016546cab5b8367795ce,x402_payer,n=28011 span=11d bad=0 submitters=5,28011,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0xd1ae21d41fc840ba11ab45d79be9c0c4f6498133,x402_payer,n=27631 span=129d bad=0 submitters=5,27631,-1,-1,0.0,0xc67b555b4a9d340ed7c5d87743163c31a75f2254
0x6d6412a0b77ed52e2f56a23a7fb433996b75992f,x402_payer,n=27166 span=56d bad=0 submitters=20,27166,-1,-1,0.0,0x97acce27d5069544480bde0f04d9f47d7422a016
0x6ccd601b275f5e3ea6692b9e8f786f3c6d1fb1a5,x402_payer,n=27108 span=187d bad=0 submitters=20,27108,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0x10aa6d4aba2344860f5145b7405585af762e9794,x402_payer,n=25404 span=8d bad=0 submitters=5,25404,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0xb1744c66f106f1536f4847bb577ea7c53d99d7d9,x402_payer,n=24648 span=91d bad=0 submitters=20,24648,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0x9cc42f3d9245b867acccd630b43f906c1665b176,x402_payer,n=24602 span=99d bad=166 submitters=56,24602,-1,-1,0.0067,0xb2bd29925cbbcea7628279c91945ca5b98bf371b
0x2ed0f87f2290551ed76e432230de93e8c62b2915,x402_payer,n=24589 span=21d bad=0 submitters=5,24589,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
